OBJECTID,GB_KEY,GSI_KEY,PROJECT NAME,DEPARTMENT,PURPOSE,FUNDER,INSTALL YEAR,SEWER CLASSIFICATION CODE,CSO BASIN KEY,CSO BASIN NAME,CREEK WATERSHED KEY,CREEK WATERSHED NAME,SOURCE TYPE,SOURCE ID,BEST MANAGED PRACTICE,NUMBER OF BMPS,INFILTRATION SQ FT,IMPERVIOUS MANAGED SQ FT,AVG ANNUAL RUNOFF VOL MANAGED CB FT,AVG ANNUAL RUNOFF VOL MANAGED GLN,GlobalID,x,y
394067,3820,1617,RAINWISE,SPU,RW,SPU,2019,P,,North Union Bay,,,PIN,9212900235,CST,,,916,866,6475,14351aa9-690a-4ed2-989c-0525e0fce804,1280804.99897233,255115.151993275
394068,3821,1618,RAINWISE,SPU,RW,SPU,2019,P,,Fremont,,,PIN,2306400010,CST,,,933,882,6595,31877aef-a5c7-45b9-9704-c6d7c646ffa0,1268074.26103929,243965.666093871
394069,3822,1619,RAINWISE,SPU,RW,SPU,2019,P,,Leschi,,,PIN,1250201580,CST,,,1364,1289,9642,9c242c37-6878-4708-b75d-1d7f245124a7,1280315.57311583,221244.722006604
394070,3823,1620,RAINWISE,SPU,RW,SPU,2019,P,,Henderson,,,PIN,0223049110,CST,,,739,698,5224,178dd689-0330-49fb-8c25-c041b759b150,1287636.23993932,190601.710135221
394071,3824,1621,RAINWISE,SPU,RW,SPU,2019,P,,North Union Bay,,,PIN,8815401080,CST,,,767,725,5422,dbe2aefa-4445-4a51-a36e-2da4a7f3647c,1282263.22118182,248794.85093081
394072,3825,1622,RAINWISE,SPU,RW,SPU,2019,P,,Duwamish,,,PIN,5680000636,CST,,,1298,1227,9175,36f156cc-be3c-4bc5-9e76-2987a463fbe5,1274481.44901386,210365.053131461
394073,3826,1623,RAINWISE,SPU,RW,SPU,2019,P,,Genesee,,,PIN,1231000510,CST,,,416,393,2941,b16e7942-2516-4c25-a5f2-4e231c251141,1285782.18592143,205895.198918879
394074,3827,1624,RAINWISE,SPU,RW,SPU,2019,P,,Delridge,,,PIN,7972603000,CST,,,968,914,6839,9b1fd22d-fe09-403e-adb6-7df0f20b54d1,1265166.52996431,195569.759932309
394075,3828,1625,RAINWISE,SPU,RW,SPU,2019,P,,Henderson,,,PIN,8067000051,CST,,,1110,1049,7846,4b81f980-f728-4a23-8665-ac91dac693a5,1288516.99014823,189603.479862198
394076,3829,1626,RAINWISE,SPU,RW,SPU,2020,P,,Henderson,,,PIN,2624049090,CRG,,,2145,3041,22745,df443025-2591-4c72-84bb-2c38d6e7a7af,1286812.20813048,199371.472768202
394077,3830,1627,RAINWISE,SPU,RW,SPU,2019,P,,North Union Bay,,,PIN,2710600095,CRG,,,1272,1910,14286,10c43526-2955-4ffb-8ffa-db3869bfd484,1282370.95385394,250001.882996053
394078,3831,1628,RAINWISE,SPU,RW,SPU,2019,S,,Duwamish,,,PIN,0013002420,CST,,,630,595,4453,549373ae-3364-4ef7-aba4-db105457f0ca,1270525.4700018,193864.360122561
394079,3832,1629,RAINWISE,SPU,RW,SPU,2019,P,,Windermere,,,PIN,5606000304,CST,,,1650,1559,11662,90f651a4-7cdc-497e-96ae-b781e84dd567,1286086.36800173,246110.30385606
394080,3833,1630,RAINWISE,SPU,RW,SPU,2019,P,,Queen Anne,,,PIN,9405800065,CST,,,10824,10228,76509,8fc57d26-a4fe-4db6-bc00-119254d6a4d7,1262321.1121054,237166.473958895
394081,3835,1631,RAINWISE,SPU,RW,SPU,2020,C,,Ballard,,,PIN,4443801520,CST,,,708,669,5005,1bd0856d-c757-4233-87c4-3722b3178d87,1257262.50307623,253436.028983563
394082,3834,1631,RAINWISE,SPU,RW,SPU,2020,C,,Ballard,,,PIN,4443801520,CRG,,,1992,3225,24121,09d0be98-80fc-4f6c-abb7-6710d051844c,1257262.50307623,253436.028983563
394083,3836,1632,RAINWISE,SPU,RW,SPU,2019,P,,Fremont,,,PIN,1324300397,CST,,,439,415,3103,01cb48ee-6fd6-4d2f-a42d-e1a35e623955,1264574.95306771,242659.787116528
394084,3837,1633,RAINWISE,SPU,RW,SPU,2019,P,,Montlake,,,PIN,0260000010,RGN,,,2716,5590,41810,8a155bf4-7a64-482f-bc73-abb26a805780,1278877.59999436,237699.371815443
394085,3838,1634,RAINWISE,SPU,RW,SPU,2020,P,,Fremont,,,PIN,2293900180,CST,,,1793,1694,12672,6bd29318-bc2b-45ff-bba3-9bc65e017be6,1268329.10795155,243622.37214151
394086,3839,1635,RAINWISE,SPU,RW,SPU,2019,C,,Delridge,,,PIN,2113700560,CRG,,,1029,2117,15833,d8427d47-abe7-4e32-911a-cf9216ad9284,1264580.49994771,197315.4099821
394087,3840,1636,RAINWISE,SPU,RW,SPU,2020,P,,Madison Park,,,PIN,5316100106,CST,,,1260,1191,8906,86458f90-316e-41b4-9e44-cb44f0441001,1283968.22886357,233875.453987539
