OBJECTID,GEOID20,Gross Acres,Land Acres,Water Acres,Tract Name,Tract,Tract Label,Urban Village Demographic Area,Community Reporting Area ID,Community Reporting Area Group,Community Reporting Area Name,Community Reporting Area Neighborhoods,Council District (2024)
29,53033004000,604.345598188771,636.19405602732,798.705875510157,Census Tract 40,4000,40,Outside - Northeast,7.5,7,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",4
30,53033004302,81.8205099540995,81.8257347514197,0,Census Tract 43.02,4302,43.02,University District,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",4
31,53033004702,65.8286562064753,65.8323331372354,0,Census Tract 47.02,4702,47.02,Ballard,10.4,10,Ballard,"Ballard, West Woodland, Adams",6
32,53033005803,205.6046280922,205.615646724625,0,Census Tract 58.03,5803,58.03,Interbay,12.2,12,Interbay,Interbay,7
33,53033007403,29.2948568554617,29.2965669387401,0,Census Tract 74.03,7403,74.03,First Hill - Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3
34,53033007700,261.505111450894,261.517061680187,0,Census Tract 77,7700,77,Central Area,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",3
35,53033008004,66.7659374873164,70.3326163471844,130.16696055651,Census Tract 80.04,8004,80.04,Center City,13.1,13,Belltown,"Belltown, Denny Regrade",7
36,53033008401,62.0008219978913,62.0039294598942,0,Census Tract 84.01,8401,84.01,First Hill - Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3
37,53033009400,416.679363486655,416.6965231744,0,Census Tract 94,9400,94,Southeast - North,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",2
38,53033009600,453.200741815795,471.210688517583,342.295810929709,Census Tract 96,9600,96,Admiral - West Seattle Junction,1.4,1,Alki/Admiral,"Alki, Admiral",1
39,53033009802,227.903370364897,227.909988464577,0,Census Tract 98.02,9802,98.02,Admiral - West Seattle Junction,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1
40,53033010002,234.265491866273,234.274928884183,0,Census Tract 100.02,10002,100.02,Southeast - North,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",2
41,53033010102,397.387105517678,401.107633069917,536.23473995156,Census Tract 101.02,10102,101.02,Southeast - North,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",2
42,53033010800,998.755477780369,1023.14601020611,79.7243505861767,Census Tract 108,10800,108,Outside - Delridge,2.3,2,Riverview,"Riverview, Delridge",1
43,53033010900,1339.15113164424,1331.84389081933,102.531188887596,Census Tract 109,10900,109,Duwamish - Georgetown,3.2,3,Georgetown,Georgetown,1
44,53033000300,299.224596547714,299.247829504166,0,Census Tract 3,300,3,Bitter Lake Village,9.5,9,Haller Lake,"Haller Lake, Pinehurst",5
45,53033000404,155.915428513293,148.133745748262,7.79395084147809,Census Tract 4.04,404,4.04,Bitter Lake Village,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",5
46,53033001100,262.083423402238,262.10097169694,0,Census Tract 11,1100,11,Outside - Northeast,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",5
47,53033002400,237.830081348396,237.845848753883,0,Census Tract 24,2400,24,Outside - Northeast,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",4
48,53033003602,129.060229506086,129.069565556764,0,Census Tract 36.02,3602,36.02,Green Lake - Roosevelt,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",6
49,53033004102,411.755659408818,417.585855442828,500.944137771016,Census Tract 41.02,4102,41.02,Outside - Northeast,7.5,7,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",4
50,53033004600,638.871842072568,383.596015991099,255.317187655499,Census Tract 46,4600,46,Green Lake - Roosevelt,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",6
51,53033005100,217.867589335082,217.88047523564,0,Census Tract 51,5100,51,Fremont - Wallingford,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",4
52,53033005401,181.180876274109,186.870726686172,152.025655508678,Census Tract 54.01,5401,54.01,Fremont - Wallingford,11.1,11,Fremont,"Fremont, Wallingford, Northlake",4
53,53033005600,735.65029002949,746.946440961204,382.1445189795,Census Tract 56,5600,56,Outside - West,12.1,12,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",6
54,53033006400,223.285422367606,223.296530989849,0,Census Tract 64,6400,64,Outside - East,6.4,6,Miller Park,"Madison-Miller, Miller Park, Capitol Hill, Stevens",3
55,53033008300,58.7985824782332,58.7999610818908,0,Census Tract 83,8300,83,First Hill - Capitol Hill,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park",3
56,53033008800,234.389302526823,234.399469996516,0,Census Tract 88,8800,88,Central Area,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",3
57,53033009000,211.481550692004,211.490577172491,0,Census Tract 90,9000,90,Central Area,5.2,5,Judkins Park,"Judkins Park, Central Area, Little Saigon, Atlantic",3
58,53033009702,548.664183348973,548.682920655732,0,Census Tract 97.02,9702,97.02,Admiral - West Seattle Junction,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1
59,53033010001,575.123379143811,560.226448557817,14.915033728822,Census Tract 100.01,10001,100.01,Southeast - North,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",2
60,53033010101,215.375863254019,215.382486932907,0,Census Tract 101.01,10101,101.01,Southeast - North,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",2
61,53033010200,691.338350655974,690.791248778725,513.143483355903,Census Tract 102,10200,102,Outside - Southeast,4.3,4,Seward Park,"Seward Park, Hillman City",2
62,53033011801,291.06294130288,286.84042118796,155.779433360771,Census Tract 118.01,11801,118.01,Rainier Beach,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2
63,53033011802,283.466665363719,281.604011046184,256.453872410922,Census Tract 118.02,11802,118.02,Rainier Beach,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2
152,53033000101,102.503303019225,102.511173351685,0,Census Tract 1.01,101,1.01,Lake City,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",5
153,53033000102,354.875170506409,369.42724051475,227.059698846444,Census Tract 1.02,102,1.02,Lake City,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",5
154,53033000201,446.422710226043,446.457401125192,0,Census Tract 2.01,201,2.01,Lake City,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",5
155,53033002000,279.702251225755,272.634579904369,7.08698234468126,Census Tract 20,2000,20,Outside - Northeast,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",5
156,53033002200,691.722840550017,692.902270053851,285.395101810901,Census Tract 22,2200,22,Outside - Northeast,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",4
157,53033003400,194.500409199023,194.511719296431,0,Census Tract 34,3400,34,Greenwood - Phinney Ridge,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6
158,53033003900,240.617379585159,240.633197458486,0,Census Tract 39,3900,39,Outside - Northeast,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",4
159,53033004402,72.8881711047403,72.8931223114656,0,Census Tract 44.02,4402,44.02,Green Lake - Roosevelt,7.2,7,University District,"University District, Cowen Park, Ravenna",4
160,53033004902,148.031136738017,147.671164473881,4.29172626786695,Census Tract 49.02,4902,49.02,Fremont - Wallingford,11.1,11,Fremont,"Fremont, Wallingford, Northlake",6
161,53033005201,173.016582405891,172.899882620496,18.0925618309928,Census Tract 52.01,5201,52.01,Fremont - Wallingford,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",4
162,53033005306,49.5385084065436,49.5419108543515,0,Census Tract 53.06,5306,53.06,University District,7.2,7,University District,"University District, Cowen Park, Ravenna",4
